1,2,3,4;4,5,6
20,21,22;45,46,47
7,8,9;8,9,10,11,12
51,52,53,54,55,56,57,58,59;90,91,92,93,94,95,96,97
97,98,99,100,101,102;69,70,71,72,73
58,59,60,61,62;83,84,85,86,87,88,89,90,91,92,93,94,95
53,54,55,56,57,58,59,60,61;78,79,80,81,82,83
84,85,86,87,88,89,90,91,92;67,68,69,70,71,72
1,2,3,4;3,4,5,6
80,81,82,83,84,85,86;60,61,62,63,64,65,66,67,68,69,70
53,54,55,56,57,58,59,60;67,68,69,70,71,72,73,74,75,76,77,78,79,80
60,61,62,63,64,65,66,67,68,69,70,71,72;92,93,94,95,96,97,98,99,100,101,102
20,25,36,45,89;25,36,77,88,98
58,59,60,61,62,63,64,65,66,67,68;77,78,79,80,81,82,83,84,85,86
70,71,72,73,74,75,76,77,78;78,79,80,81,82,83,84,85,86
9,10,11;11,12,13
66,67,68,69,70,71;96,97,98,99,100,101,102,103,104,105,106
59,60,61,62,63,64,65,66,67,68,69,70,71,72;57,58,59,60,61,62,63,64,65,66
97,98,99,100,101;88,89,90,91,92,93,94
98,99,100,101,102,103,104,105,106,107,108,109,110;50,51,52,53,54,55
50,51,52,53,54,55,56,57,58,59,60,61;57,58,59,60,61,62,63,64
95,96,97,98,99,100,101,102,103,104;95,96,97,98,99
9,10,11;33,34,35
